pMIG_plus_1	pMIG_plus_2	pMIG_plus_3	pMIG_plus_4	pMIG_plus_5	pMIG_plus_6	pMIG_BCR_ABL_1	pMIG_BCR_ABL_2	pMIG_BCR_ABL_3	pMIG_BCR_ABL_4	pMIG_BCR_ABL_5	pMIG_BCR_ABL_6
0.953993016	0.973974154	0.768225831	2.302096743	1.391019788	2.301101789	0.552712497	0.648215078	0.790209027	1.446563266	1.676222267	1.649463709
0	0	0	0	0	0	0	0	0	0	0	0
0	0.332117847	0	0	0	0	0	0	0	0	0.401306069	0
0	0	0	0	0.08965448	0	0	0	0	0	0	0
0	0	0	0.134802107	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.037037762	0.14428136	0.049776703	0	0	0	0	0	0.035012922	0
0	0	0	0.325766324	0	0	0	0	0	0	0	0
0	0	0	0.037423973	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.022519656	0	0	0	0
0	0	0	0.04672908	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.044410208	0.330950714	0.112030166	0.283466674	0.24059765	0.129065887	0.039334671	0.266100479	0.303684906	0.173822063	0.036307374	0.244605797
0.094047392	0	0	0.157805614	0.107807565	0.094180253	0.083594632	0.100819582	0	0.184569757	0	0
0	0.058603136	0.061034168	0	0	0.070856273	0	0	0	0	0.113773832	0
3.373460294	3.653713554	3.664676249	3.375995812	3.250750913	3.350590595	3.523850466	3.453546551	3.562315702	3.494005914	3.331303934	2.928741728
0	0	0	0	0.07875437	0	0	0	0	0	0	0
0.33646507	0.566302754	0.552653483	0.958727626	1.203157295	0.306671713	0.0426089	0	0	0.049188273	0	0.056656355
0.024559825	0.079570082	0.062732655	0.163224337	0.028562222	0.095476187	0	0	0.060688116	0	0	0
3.010668858	3.062176987	3.12557837	2.72386214	2.835588619	2.700885775	2.435079145	2.210538488	2.449843943	2.326019542	2.575665699	2.609022084
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.063175434	0	0.172650082	0.139479973	0.197818852
0	0	0	0.237966246	0	0	0	0	0	0	0	0
